title,author,source,year,abstract,has_data,raw_answer
安庆市六种园林植物滞尘能力与叶表微形态特征关联性研究,彭丽丽; 丁薇晨; 储敏; 郭纯纯; 陈紫蜜,"0
source      期刊
source    江西农业
Name: 0, dtype: str",,本研究选取安庆市6种常见园林植物，系统解析其滞留颗粒物功能与叶片表面结构特性的内在关联。综合运用总尘截留量、叶面积标准化滞尘指标及生物量折算参数等多元评价体系，结合显微形态学观察发现：香樟在叶面积标准化滞尘指标（47.25μg/cm<sup>2</sup>）方面显著优于其他物种，灌木类中冬青卫矛以29.90μg/cm<sup>2</sup>的截尘效率展现特殊优势。微观机制显示：纵向沟槽与凹陷气孔在蜡质层协同下形成复合截留结构，气孔三维空间分布（而非单纯密度）决定滞尘效能差异。物种策略分异明显：香樟等乔木通过扩大叶面积提升总截尘量，冬青卫矛则依赖角质层增厚实现单位高效固尘。基于研究结论，提出“乔木-灌木”复合配置方案，推荐香樟、桂花与冬青卫矛组合模式，为长江中下游工业城市绿化提供科学依据。,True,是
城市绿地对大气颗粒物的消减效应研究——以安庆市为例,范志强; 许景郅; 张业宏; 凌张军; 丁元春,"0
source      期刊
source    西北园艺
Name: 1, dtype: str",,以安庆为研究地点，探索城市绿地与大气颗粒物消减之间关系，旨在筛选出消减能力较强的绿地和植物群落类型，为城市绿地规划和公众健康管理提供科学依据。在安庆5个具有代表性的城市绿地中选取不同的植物群落配置类型，5个城市绿地分别是菱湖公园、狮子山公园、集贤南路、集贤北路、独秀大道，植物群落配置类型主要包括乔、乔草、灌草、乔灌、乔灌草结构，并以无绿化的裸地为对照。测定样地中不同植物配置对PM<sub>2.5</sub>和PM<sub>10</sub>的消减作用并进行比较。结果显示：各场地中，独秀大道对PM<sub>2.5</sub>的消减率最高，其次是集贤南路、菱湖公园、集贤北路，狮子山公园对PM<sub>2.5</sub>的消减率最低；独秀大道对PM<sub>10</sub>的消减率最高，其次是集贤南路、菱湖公园、集贤北路，狮子山公园对PM<sub>10</sub>的消减率最低。5种不同的植物群落配置对PM<sub>2.5</sub>和PM<sub>10</sub>的消减率大小顺序为：乔灌草型>乔灌型>乔草型>灌草型>乔木型。不同的植物配置有不同的滞尘能力，通过对植物的合理搭配，可以创造出符合场,False,否
Title-题名,Author-作者,"0
source    SrcDatabase-来源库
source        Source-文献来源
Name: 2, dtype: str",,Summary-摘要,False,否
荆州市三条东西向主干道行道树配置与生态效应,王雍璞,"0
source      硕士
source    长江大学
Name: 3, dtype: str",,"城市中的行道树是绿化的基础骨架,它们与街道共同构筑起城市的绿色网络。合理配置行道树有利于发挥行道树的生态功能。本研究通过选取荆州市三条东西向主干道,复兴大道、荆沙大道、江津路行道树进行物种调查和生态配置分析,对行道树的温度、湿度、噪声、滞尘等生态功能进行测试与数据分析,结果如下: (1)复兴大道行道树种类最少,共30种,隶属22个科,其中乔木19种、灌木11种;荆沙大道行道树种类共35种,隶属23个科,其中乔木15种、灌木20种;江津路行道树种类数量最多共45种,隶属30个科,乔木类25种、灌木类20种,三条道路行道树种类中以乔木为主要树种。 (2)复兴大道在紫叶李(Prunus cerasifera f)和红叶石楠(Photinia×fraseri)配置的树荫下与阳光下,7月温度变化最大,7月湿度变化最大,7月噪音变化最大。荆沙大道在栾树(Koelreuteria paniculata)和沿阶草(Ophiopogon bodinieri)配置的树荫下与阳光下,10月温度变化最大,10月湿度变化最大,3月噪音变化最大;江津路在广玉兰(Magnolia grandiflora)和大叶黄杨",True,是
城市公园竹类景观林康养功能评价与作用研究,王锐涵,"0
source        博士
source    南京林业大学
Name: 4, dtype: str",,"21世纪全球人类健康问题成为共识。党的十八大把人民健康放在优先发展的战略地位,做出“全面推进健康中国建设”的重大决策部署;党的十九大明确指出“实施健康中国战略”。当前,城市生态环境日趋恶化,各类生理疾病和心理疾病严重影响公众健康。中国的竹类植物有39属、870余种,占全球1642个竹种的50%。中国拥有世界上最丰富的竹子资源,竹林面积和储蓄量均位于世界首位。竹类植物资源是城市中重要的康养资源,能够改善人居环境、提高公众健康、塑造城市地域景观。因此,展开竹类植物资源的园林康养研究是森林康养研究的重要组成,是应时代需要,公众需求的重要方面,也是风景园林学科的学科内涵不断丰富、学理逻辑不断完善、技术方法寻求突破过程中的重要研究内容之一。 在理论层面,本研究梳理了竹类植物、康养、森林康养、园艺疗法、园林康养的内涵,辨析了竹林康养与森林康养、广义园林康养、狭义园林康养之间的包含关系,以推演竹林康养内涵的内在逻辑以及理论内核基础。通过竹类植物康养研究的中英文文献,总结了中文文献在文献研究主题方面的分布特征以及文献载体的特征,英文文献在研究内容、研究领域的动态变化。中文文献的主题主要围绕环境康养、景",True,是
Title-题名,Author-作者,"0
source    SrcDatabase-来源库
source        Source-文献来源
Name: 5, dtype: str",,Summary-摘要,False,否
城市绿地中不同植被类型降温滞尘效应分析,史杜芳; 方金生; 牛俪; 张曼; 许信旺; 张永兰,"0
source        期刊
source    安徽农业科学
Name: 6, dtype: str",,"以地处安徽省西南部的池州市区为试验区,选取测试点,观测、对比不同植被类型的降温滞尘效应。结果表明,城市绿地具有明显降温滞尘效应,在气温上,裸地变化幅度最大,草地次之,灌草变化较小,乔灌草变化幅度最小,乔灌草调节温度能力最强,最具优良的降温效应;在滞尘方面,乔灌草型的滞尘效果最好,其次是灌草型和草地,并表现出道路绿地的滞尘效应优于公园绿地和住宅绿地。通过对不同植被类型的降温滞尘效应探究,以期为城市绿地的规划与建设提供理论依据。",False,否
Title-题名,Author-作者,"0
source    SrcDatabase-来源库
source        Source-文献来源
Name: 7, dtype: str",,Summary-摘要,False,否
铜陵新桥矿区大气-植物-土壤系统重金属污染特征及铅同位素源解析,王娟,"0
source      硕士
source    安徽大学
Name: 8, dtype: str",,"铜陵是长江中下游著名的矿业城市,我国重要的有色金属基地。由于矿山开采、金属冶炼等活动的加剧,使得重金属进入环境,造成污染。本研究选择铜陵新桥矿区为研究区域,以周边植物(农作物、蔬菜、药用植物凤丹)为研究对象,旨在探明重金属Cu、Zn、Cr、Cd及Pb等五种元素在大气-植物-土壤系统中的富集特征和迁移规律;并通过多元统计分析方法和Pb同位素示踪技术解析植物中重金属的污染来源,为当地重金属污染防治提供基础资料和科学依据。本次研究获得的主要结论如下:(1)铜陵新桥矿区周边河流(顺安河、新桥河、相思河、圣冲河)岸边根际土壤和剖面土壤的pH值整体偏中性,Cu、Zn、Cd及Pb处于严重污染状态,且相思河和新桥河河岸周边土壤污染程度高于圣冲河和顺安河河岸周边根际土壤。Cd主要的污染因子,Cr污染相对较小。重金属形态测定结果表明,Cd元素的酸可提取态最高,生态风险最大。(2)大气降尘中Cr、Cd、Pb、Cu及Zn五种重金属均存在严重污染。污染程度为Zn>Cd>Cu>Pb>Cr。(3)水稻和玉米受到Cr污染,蔬菜受到Pb、Cd、Cr污染,凤丹受到Cd、Cr污染。风险评价结果表明,蔬菜中Cr、Cd、Pb元",False,否
Title-题名,Author-作者,"0
source    SrcDatabase-来源库
source        Source-文献来源
Name: 9, dtype: str",,Summary-摘要,False,否
苏州市骨干树种的滞尘能力,武金翠; 王江山; 于敏; 顾燕; 肖萌萌; 张欢欢,"0
source        期刊
source    贵州农业科学
Name: 10, dtype: str",,"为苏州城市绿地建设的植物选择及净化环境提供参考,于2017年9—12月对苏州市朴树、重阳木和黄山栾树等20种骨干树种,按上、中、下各部位均匀采集叶片,研究其滞尘能力。结果表明:不同树种间的滞尘能力差异明显,乔木树种的滞尘能力为朴树>重阳木>黄山栾树>无患子>鹅掌楸>紫叶李>杜英>珊瑚树>榉树>榆树>二乔玉兰>樱花>榔榆;灌木树种为八角金盘>熊掌木>洒金桃叶珊瑚>海桐;藤本植物为爬山虎>常春藤>美国凌霄;不同树种的滞尘量随着季节的变化而不同,空气质量越差植物的滞尘量越大;相同树种在不同生长环境的滞尘量也有明显差异,车流量较大地方植物的滞尘作用越明显。",False,否
Title-题名,Author-作者,"0
source    SrcDatabase-来源库
source        Source-文献来源
Name: 11, dtype: str",,Summary-摘要,False,否
宜昌地区模块式垂直绿化基质及垂直绿化生态效应研究,牛鹏辉,"0
source      硕士
source    三峡大学
Name: 12, dtype: str",,"社会的发展和城市化进程的加快导致建筑能耗和环境污染日益严重,人们生活的环境中的绿化面积越来越小,生活环境越来越差。垂直绿化由于其各种优点,正在成为城市重要的绿化形式,而目前国内对于垂直绿化的基质研究很少。论文以宜昌市的模块式垂直绿化为研究对象,开展了以下研究:（1）以壤土、陶粒、草炭土、保水剂和黄麻纤维等为材料,通过正交试验,研究了各配比基质的理化性质、保水性、保肥性、植物固定性能和植物适生性能,探讨了陶粒、草炭土、保水剂和黄麻纤维4种材料对垂直绿化基质的影响,为垂直绿化的基质配制提供理论依据。（2）通过植物墙栽植试验,探讨了垂直绿化的生态效应,为垂直绿化的推广提供有益的参考。所得主要结论如下:1)如果仅从容重来选择轻质的基质,其最优的配方组合为A3B3C123D123（A:陶粒,1——10,2——20,3——30;B:草炭土,1——10,2——20,3——30;C:保水剂1——0.1,2——0.2,3——0.3;D:黄麻纤维,1——0.3,2——0.6,3——0.9。以上均为质量比,以干质量为100的壤土为计算基数。下同）;从大的总孔隙度来选择,其最优的配方组合为A3B1C123D1",True,是
Title-题名,Author-作者,"0
source    SrcDatabase-来源库
source        Source-文献来源
Name: 13, dtype: str",,Summary-摘要,False,否
荆州市区行道树吸尘能力比较研究,李国军; 刘刚; 谢家奋; 朱晓琴; 向明贵; 王永超; 骆贤政; 费永俊,"0
source             期刊
source    长江大学学报(自科版)
Name: 14, dtype: str",,"以湖北省荆州市沙市区沿江路上行道树香樟、法国梧桐和广玉兰叶片为研究对象,通过测定叶面积、叶片重量、pH、EC值及重金属元素Pb、Ni、Cu、Zn含量等指标,定量研究了3种植物滞尘能力的大小,综合评定了荆州市常用行道树的整体生态效益。结果表明,3种树种间pH相差不大;EC值:广玉兰>香樟>法国梧桐;叶面积:广玉兰>法国梧桐>香樟;叶片重量:广玉兰>法国梧桐>香樟;单片叶上粉尘中Pb、Ni含量:广玉兰>法国梧桐>香樟;单片叶上粉尘中Cu、Zn含量:广玉兰>香樟>法国梧桐;每平方厘米叶片上粉尘中Cu、Ni、Cu、Zn含量:香樟>广玉兰>法国梧桐;每千克叶片上粉尘中Cu、Ni、Cu、Zn含量:香樟>法国梧桐>广玉兰。综合分析表明:荆州市区3种常见常绿阔叶树种滞尘能力大小顺序表现为:香樟>广玉兰>法国梧桐。",True,是
Title-题名,Author-作者,"0
source    SrcDatabase-来源库
source        Source-文献来源
Name: 15, dtype: str",,Summary-摘要,False,否
