title,author,source,year,abstract,has_data,raw_answer
常州PM<sub>2.5</sub>中类腐殖质和无机元素的昼夜变化特征及健康效应评价,胡彦钧,"0
source        硕士
source    江苏理工学院
Name: 0, dtype: str",,"大气细颗粒物(PM<sub>2.5</sub>)因粒径小、能深入肺部,而对人体健康产生不良影响;其中类腐殖质（HULIS）和无机金属元素是PM<sub>2.5</sub>中两类重要的具有负面健康效应的化学组分。为探究常州市PM<sub>2.5</sub>的潜在健康效应,本研究于2023年10月27日至2024年1月5日在常州市开展了分昼夜时段（昼:08:00-19:00,夜:19:20-06:20）,连续采集了142个PM<sub>2.5</sub>样品。通过对样品中PM<sub>2.5</sub>、HULIS和无机元素质量浓度的测定,对比分析了昼夜变化特征及来源,并对HULIS的氧化潜势（以DDTv和DTTm表示）以及无机元素的健康效应进行研究。主要结论如下: 1、在观测期间,白天（62.48±27.07μg/m<sup>3</sup>）和夜间（69.82±30.01μg/m<sup>3</sup>）的PM<sub>2.5</sub>的浓度变化趋势基本一致,夜间的PM<sub>2.5</sub>水平略高于白天,但均低于《环境空气质量标准》中规定的日二级浓度限值（75μg/m<sup>",False,否
慈溪市大气污染数字化治理研究,孙杭,"0
source      硕士
source    宁波大学
Name: 1, dtype: str",,"生态文明建设在党的十八大中被纳入中国特色社会主义事业“五位一体”总体布局,会议明确强调要大力推进生态文明建设,努力构建美丽中国,显然生态环境保护已经被提升至极为重要的位置。在经济高速发展的当下,人民的生活水平逐渐提高,但随之而来的大气污染问题也成为各地环境治理中的难点和堵点,这种情况在工业经济发达的城市尤为明显。 慈溪市隶属于浙江省宁波市,是全国经济百强县前十的县级城市。本文以该市为研究对象,结合数字治理理论、环境规制理论以及生态现代化理论等有关公共管理理论,对该市近几年大气环境质量现状以及治理政策落实相关情况做梳理分析,阐明近年来慈溪市在传统治理方式的基础上,通过数字化手段精准治理,在大气污染的防治方面取得了一定的成效,大气环境质量总体呈平稳向好趋势。但通过横向对比,慈溪在宁波市的总体排名仍处于靠后水平,在精准治理方面仍然存在环境感知力分散、数字化协同性不强、综合防治能力不齐等问题,究其原因主要有以下几方面:监管平台多而散导致信息碎片化、监管主体多信息存在壁垒、数字规制能力尚不健全等。因此本文以问题为导向,在大气环境监测、预警、综合治理方面明确提出提高大气环境监测效能、加强大气污染预",False,否
室外空气污染物暴露水平与肺结节不良预后的关联研究,张心悦,"0
source      硕士
source    东南大学
Name: 2, dtype: str",,"研究背景: 肺结节（Pulmonary Nodule,PN）是指肺部直径在3-30mm间的局灶性不透明病灶,影像学检查表现为密度增高的阴影,边界清晰或不清晰,可单发或多发。美国每年约有160万人被检出患有肺结节。而我国一项14 506人参与的低剂量计算机断层扫描（low-dose Computed Tomography,LDCT）肺癌筛查项目中,肺结节的检出率为29.89%。肺结节是肺癌早期影像学表现,而肺癌是全球癌症相关死亡的主要原因之一。肺结节进展反映了其发展为肺癌的潜能,同时也与肺结节患者生存率有关。既往研究表明,室外空气污染物尤其是颗粒物暴露是肺结节和肺癌发生的危险因素之一,而室外空气污染暴露是否会增加肺结节进展的风险却鲜见报道。空气污染物一般混合存在,不同污染物各浓度水平之间存在较强相关性。传统线性回归模型容易受到多重共线性影响,因此只适用于评估单一污染物的效应,无法用于评估混合污染物的效应。近年来,基于分位数的g计算模型（Quantile-Based g-Computation,QgC）及贝叶斯核机器回归模型（Bayesian Kernel Machine Regressi",False,否
长三角地区大气棕色碳光学属性、分子组成与来源研究,徐善淑,"0
source          硕士
source    南京信息工程大学
Name: 3, dtype: str",,"大气棕色碳（brown carbon,Br C）指大气中对从紫外到可见光波段具有较强吸光能力的有机气溶胶（organic aerosol,OA）,不仅影响大气辐射强迫,对空气质量也起着至关重要的影响。棕色碳的来源广泛、种类繁多,不同来源排放的Br C到大气中会受复杂的老化过程影响,进而改变其化学组成及光学属性等。目前对Br C的研究,特别是来源、时空分布特征以及关键Br C组成等方面仍有不足,阻碍了相关模型对其环境与气候效应的评估。因此,在不同地区从源头开展Br C研究是了解Br C大气演化的一个重要前提条件。本研究选取苏州和南京作为我国长江三角洲地区的两个典型研究区域,开展大气Br C来源、光学特性与分子组成的研究。以苏州全年为例开展大气Br C吸光特性与来源季节变化特征的长期性研究,以南京夏季为例开展大气Br C吸光特性、分子组成与来源的短期性深入研究,以揭示长三角地区典型城市大气Br C的污染特征。主要结果如下: （1）苏州全年Br C在370 nm处光吸收系数的平均值为7.0 Mm<sup>-1</sup>,对气溶胶的总光吸收贡献率为16.6%。Br C的吸光系数呈现明显的季节",False,否
19届亚运会期间长三角绍兴市道路大气污染物时空变化特征研究,赵高晗,"0
source        硕士
source    北京建筑大学
Name: 4, dtype: str",,"我国城市机动车保有量日渐增长,机动车尾气排放被认为是城市空气污染的主要贡献者之一。城市街道是人们日常活动的公共空间,也是机动车尾气直接排放的场所。由于城市空间结构的特异性和人为活动的多样性,影响机动车污染物排放的浓度和扩散。目前对于城市街道机动车尾气污染物的排放特性不明确,尤其是在特殊时期的污染物排放特性,这对于改善城市空气质量非常重要。因此,有必要对城市道路大气污染物进行实地观测,认识机动车尾气排放对大气污染物的时空变化特征的影响。 本研究使用便携式大气成分检测仪对19届亚运会期间长三角地区典型城市绍兴市道路近地面大气CO、NO<sub>2</sub>和SO<sub>2</sub>进行走航观测,观测期间将便携式大气成分检测仪搭载在电动自行车上,收集了高时空分辨率的污染物浓度数据。首先,在2022年5月、7月、11月和2023年2月走航观测了绍兴市中心5公里道路,分别对应春夏秋冬四个季节,分析了CO、NO<sub>2</sub>和SO<sub>2</sub>浓度的日变化和季节变化特征以及空间分布特征。其次,在2023年19届亚运会期间绍兴市比赛场馆周围道路进行观测研究,路线全长43公里",False,否
基于系统动力学的江苏省城镇空间碳效应测算与模拟,王欣瑶,"0
source        硕士
source    中国矿业大学
Name: 5, dtype: str",,"随着全球经济社会的快速发展,能源消耗产生的二氧化碳等温室气体排放量骤升,导致全球变暖趋势加剧,进而引发了一系列生态问题。因此,应对全球气候变化成为21世纪人类面临的复杂挑战之一。作为负责任的大国,中国积极应对气候变化,提出了“双碳”战略目标,作出二氧化碳排放力争于2030年前达到峰值,努力争取2060年前实现碳中和的庄严承诺。江苏作为经济大省,虽然其国内生产总值位居全国前列,但快速的工业化和城镇化进程也带来了能源的大量消耗和碳排放量的持续增长,使得江苏省在碳减排的过程中面临着巨大的压力和挑战;如何在保持经济增长的同时,有效降低能源消耗和碳排放,成为当前江苏亟待解决的问题。而城镇空间作为工业、交通、商业及生活等人类活动能源消耗的集中载体,主导着区域内碳排放。因此,推进城镇空间的低碳发展,不仅是实现区域碳减排目标的有效途径,也是促进可持续发展战略的关键环节。本文以系统动力学和GIS空间信息技术为支持,将市域作为评价单元,对东部沿海省份江苏省开展实证研究,并基于城镇空间碳效应机理分析成果,构建城镇空间碳效应系统动力学模型,实现多时态、空间可视化的城镇空间碳效应多情景模拟,以此探索江苏省市域尺",False,否
海陆风环流及对流层顶折卷对长三角空气污染的影响研究,孙璐,"0
source      博士
source    兰州大学
Name: 6, dtype: str",,"长三角地区是我国经济最发达的地区之一,近年来,随着工业化和城市化高速发展,该地区以臭氧（O<sub>3</sub>）和可吸入颗粒物(PM<sub>2.5</sub>)浓度超标为表征的区域性大气污染问题引发了社会广泛关注。自2013年起我国实施污染减排措施以来,长三角地区的空气质量已得到大幅改善,特别是颗粒物浓度明显下降,但O<sub>3</sub>污染问题日益严峻,O<sub>3</sub>已经取代PM<sub>2.5</sub>成为长三角部分地区首要的大气污染物。面对大气污染新问题,除了严格贯彻区域减排政策,也需要从新的角度审视区域气候条件和气象因素对当地空气污染的影响。污染物的垂直传输是影响区域空气质量的重要影响因素,海陆风环流作为近地面中小尺度环流,除了通过改变局地气象条件影响污染物水平分布,还通过改变大气稳定性影响污染物在垂直方向的传输和分布,是影响沿海地区近地面空气质量的重要因素。针对该地区O<sub>3</sub>污染问题,除了考虑人为排放和光化学反应来源外,平流层对对流层O<sub>3</sub>的传输与贡献也是近年来前沿与热点研究方向之一。本研究利用多种观测资料、大气再",False,否
经济高质量发展与大气污染的交互影响及减污路径研究,陈奕青,"0
source        博士
source    中国地质大学
Name: 7, dtype: str",,"党的十九大报告明确提出“协同推进生态优先和绿色发展”的要求以及习近平总书记多次强调“既要绿水青山也要金山银山”,均表明了在保障经济发展质量的同时,推动城市减污已成为生态文明建设和绿色发展的必然要求。然而,在经济下行压力不断上升的背景下,还要加强对环境的严格约束,这无疑是一个巨大的挑战。因此本文基于2013-2020年长江经济带107个地级市的面板数据,在现有研究的基础上,从概念界定、实证检验、实现路径及政策建议四个核心方面,对经济发展和大气环境保护共生共赢的问题进行了深入研究。通过深入剖析经济与大气环境协调发展之间的逻辑关系,直面现实困境,构建了兼顾经济发展质量的城市减污路径,最终着眼于大气环境治理政策的布局上。本文以“文献梳理-理论框架建立-现状分析-实证检验-政策建议”为研究路径,主要研究内容及结论可以概括为以下几个方面: 第一,对经济高质量发展和大气污染的相关文献进行梳理,并阐释了大气环境的常规治理模式和“运动式”治理模式;从理论层面探讨了经济高质量发展与大气污染间的双向影响效应及其路径机制,构建了兼顾经济发展与大气环境保护的城市发展理论分析框架。 第二,构建评价经济高质量发展的",False,否
基于ARIMA-BP模型的二氧化碳与大气污染物排放预测及协同效益研究,后玲,"0
source      硕士
source    东南大学
Name: 8, dtype: str",,"城市二氧化碳（CO<sub>2</sub>）及大气污染物排放控制是应对气候变化和空气污染的重要领域,建立有效的排放预测模型对于制定合理的减污降碳协同政策至关重要。鉴于现有研究对此领域探讨不足,加之城市排放受众多因素影响,使得其预测工作极为复杂。为提升预测的准确性并简化数据收集过程,本文以苏州市为研究对象,提出一种新颖的预测模型,基于最小绝对收缩和选择算子（Lasso）回归模型、自回归移动平均（ARIMA）模型以及反向传播（BP）神经网络组合的模型方法,即Lasso-ARIMA-BP模型方法预测能源消耗产生的CO<sub>2</sub>及大气污染物排放量,结合情境分析方法,设置基准、低碳、示范三种情境,分析不同情境下CO<sub>2</sub>达峰、中和的时间及相应排放量以及各情境大气污染物排放量。基于摄入分数（IF）法评估CO<sub>2</sub>达峰及中和时协同减少大气污染物对过早死亡、呼吸系统住院、急性支气管炎、慢性支气管炎、心血管住院以及哮喘等健康效应的影响。本研究可为CO<sub>2</sub>及大气污染物协同减排提供理论依据,为苏州市“双碳”及减污降碳目标的实现提出针对性建",False,否
气象因素和大气污染对人群死亡率的影响及预测研究,黎丽琴,"0
source        硕士
source    海南师范大学
Name: 9, dtype: str",,"随着工业化和城镇化的快速发展,气候变化和大气污染等环境问题已成为全球性的挑战,直接或间接地影响人类的健康和生存。2022年9月,国家科技基础资源调查专项“我国区域人群气象敏感性疾病科学调查”通过验收,此调查旨在构建覆盖全国的气象敏感性疾病共享基础数据库,探索和制定适应于不同区划、不同敏感疾病和脆弱人群的气候变化适应策略。因此,有关气象因素和大气污染对人群健康的影响研究显得尤为重要。本文以宁波市为例,利用分布滞后非线性模型和广义相加模型研究气象因素和大气污染对人群死亡率的影响及预测问题,旨在为环境保护和人类健康提供一定的科学依据。 本文的主要工作是:首先,对数据进行描述性统计分析,对宁波市2014-2018年的逐日死亡、气象和大气污染情况进行一一展示;其次,利用分布滞后非线性模型,分别研究日均气温、气温变化对不同疾病、不同年龄和不同性别亚组人群死亡的影响,并识别出敏感性疾病和脆弱人群,评估其归因负担;再次,利用广义相加模型建立基于各污染物的单污染模型,研究各种污染物对人群死亡率的影响,并针对呼吸系统疾病建立多污染物模型,构建空气质量健康指数(AQHI),以全面评估大气污染对人群死亡的综合",False,否
